InsertionSort,0.250000,3.999600,0.239314,27984
InsertionSort,0.500000,16.159000,0.676428,113562
InsertionSort,0.750000,32.823200,0.726022,255406
InsertionSort,1.000000,65.392200,5.244487,451044
SelectionSort,0.250000,3.501000,0.070126,14222
SelectionSort,0.500000,14.669200,0.923306,57253
SelectionSort,0.750000,31.554400,0.230718,128407
SelectionSort,1.000000,58.832400,1.844266,226472
BubbleSort,0.250000,6.184600,0.277652,27984
BubbleSort,0.500000,25.852400,0.415251,113562
BubbleSort,0.750000,60.837400,2.361470,255406
BubbleSort,1.000000,121.175400,10.899893,451044
MergeSort,0.250000,0.849800,0.028145,15887
MergeSort,0.500000,2.797800,0.149882,61049
MergeSort,0.750000,5.674600,0.188810,134566
MergeSort,1.000000,9.536600,0.222636,235014
QuickSort,0.250000,0.870200,0.134080,14789
QuickSort,0.500000,2.949000,0.343614,58241
QuickSort,0.750000,5.866600,0.357064,130374
QuickSort,1.000000,8.878200,0.219000,228688
