InsertionSort,0.250000,5.909400,0.648981,39800
InsertionSort,0.500000,23.413600,0.659200,159600
InsertionSort,0.750000,54.837200,7.116080,359400
InsertionSort,1.000000,91.985000,6.114872,639200
SelectionSort,0.250000,2.569400,0.039948,20000
SelectionSort,0.500000,10.961400,0.629010,80000
SelectionSort,0.750000,23.292400,0.836344,180000
SelectionSort,1.000000,44.381000,1.537578,320000
BubbleSort,0.250000,6.020000,0.365065,39800
BubbleSort,0.500000,23.813800,0.378774,159600
BubbleSort,0.750000,57.367200,2.367320,359400
BubbleSort,1.000000,112.267400,5.749329,639200
MergeSort,0.250000,0.506800,0.033511,21444
MergeSort,0.500000,1.458600,0.021266,83288
MergeSort,0.750000,3.299000,0.421806,185276
MergeSort,1.000000,5.557000,0.333793,327376
QuickSort,0.250000,3.005600,0.317601,29900
QuickSort,0.500000,12.078400,0.998959,119800
QuickSort,0.750000,26.210000,1.610453,269700
QuickSort,1.000000,46.317800,1.633014,479600
