InsertionSort,0.250000,4.253800,0.453274,28806
InsertionSort,0.500000,16.626600,1.187525,113758
InsertionSort,0.750000,34.962000,2.048992,245586
InsertionSort,1.000000,69.719400,3.043400,469156
SelectionSort,0.250000,3.851600,0.165783,14646
SelectionSort,0.500000,17.279200,0.722302,57376
SelectionSort,0.750000,43.621400,1.590050,123531
SelectionSort,1.000000,71.416200,3.559825,235571
BubbleSort,0.250000,6.597800,0.307069,28806
BubbleSort,0.500000,30.217600,2.389713,113758
BubbleSort,0.750000,59.205400,4.407693,245586
BubbleSort,1.000000,124.037200,6.654901,469156
MergeSort,0.250000,0.964000,0.251714,16397
MergeSort,0.500000,3.236600,0.355315,61367
MergeSort,0.750000,6.471400,0.902610,130019
MergeSort,1.000000,11.700800,1.377006,244554
QuickSort,0.250000,0.832800,0.020252,15652
QuickSort,0.500000,2.846800,0.160997,59112
QuickSort,0.750000,5.789200,0.214064,126461
QuickSort,1.000000,9.851600,0.349434,239478
