InsertionSort,0.250000,0.300800,0.020999,300
InsertionSort,0.500000,1.110600,0.013851,1684
InsertionSort,0.750000,2.593200,0.151343,3988
InsertionSort,1.000000,4.668800,0.238711,6902
SelectionSort,0.250000,2.651200,0.184264,288
SelectionSort,0.500000,10.584200,0.290070,1180
SelectionSort,0.750000,23.105800,0.498054,2534
SelectionSort,1.000000,45.603400,1.545440,4192
BubbleSort,0.250000,0.447000,0.020736,300
BubbleSort,0.500000,11.823400,0.108666,1684
BubbleSort,0.750000,23.088800,0.854258,3988
BubbleSort,1.000000,43.409000,1.647469,6902
MergeSort,0.250000,0.461400,0.017351,1694
MergeSort,0.500000,1.591800,0.109110,4330
MergeSort,0.750000,2.982200,0.148537,7570
MergeSort,1.000000,5.237600,0.331027,11227
QuickSort,0.250000,1.505800,0.068826,288
QuickSort,0.500000,6.284200,0.214010,1182
QuickSort,0.750000,13.094600,0.382611,2710
QuickSort,1.000000,26.232800,2.611720,4569
